Time,Trigger,LogId,Type,LaneFrom,LaneTo,SimTime,Cycle,Repeat
16.074,16,16,LaneChange,Lane.hiway.1,Lane.hiway.2,15.824387,1,1
17.757,17,17,LaneChange,Lane.hiway.2,Lane.hiway.1,17.507769,1,1
31.757,30,27,LaneChange,Lane.hiway.1,Lane.hiway.2,31.507833,1,1
36.59,34,31,LaneChange,Lane.hiway.2,Lane.hiway.1,36.341022,1,1
50.041,40,37,LaneChange,Lane.hiway.1,Lane.hiway.2,49.790977,1,1
60.275,47,44,LaneChange,Lane.hiway.2,Lane.hiway.1,60.024097,1,1
68.008,51,47,LaneChange,Lane.hiway.1,Lane.hiway.2,67.75743,1,1
71.191,57,53,LaneChange,Lane.hiway.2,Lane.hiway.1,70.95002,1,1
83.408,66,62,LaneChange,Lane.hiway.1,Lane.hiway.2,83.15703,1,1
88.108,70,66,LaneChange,Lane.hiway.2,Lane.hiway.1,87.85713,1,1
92.659,73,69,LaneChange,Lane.hiway.1,Lane.hiway.2,92.40693,1,1
97.642,76,72,LaneChange,Lane.hiway.2,Lane.hiway.1,97.390274,1,1
125.676,88,84,LaneChange,Lane.hiway.1,Lane.hiway.2,125.423225,1,1
132.026,92,88,LaneChange,Lane.hiway.2,Lane.hiway.1,131.77315,1,1
134.259,96,91,LaneChange,Lane.hiway.1,Lane.hiway.2,134.00652,1,1
136.509,100,95,LaneChange,Lane.hiway.2,Lane.hiway.1,135.24005,1,1
169.276,132,126,LaneChange,Lane.hiway.1,Lane.hiway.2,160.93982,1,2
180.51,137,131,LaneChange,Lane.hiway.2,Lane.hiway.1,172.17308,1,2
194.093,143,137,LaneChange,Lane.hiway.1,Lane.hiway.2,185.75638,1,2
203.177,149,143,LaneChange,Lane.hiway.2,Lane.hiway.1,194.83946,1,2
211.61,153,146,LaneChange,Lane.hiway.1,Lane.hiway.2,203.27266,1,2
215.577,159,152,LaneChange,Lane.hiway.2,Lane.hiway.1,207.2394,1,2
227.06,165,158,LaneChange,Lane.hiway.1,Lane.hiway.2,218.72289,1,2
232.477,169,162,LaneChange,Lane.hiway.2,Lane.hiway.1,224.13959,1,2
237.344,173,166,LaneChange,Lane.hiway.1,Lane.hiway.2,229.00601,1,2
242.544,177,170,LaneChange,Lane.hiway.2,Lane.hiway.1,234.20616,1,2
268.778,188,181,LaneChange,Lane.hiway.1,Lane.hiway.2,260.43903,1,2
279.544,197,190,LaneChange,Lane.hiway.2,Lane.hiway.1,271.2056,1,2
292.128,203,196,LaneChange,Lane.hiway.1,Lane.hiway.2,283.7887,1,2
298.794,213,202,LaneChange,Lane.hiway.2,Lane.hiway.1,290.45532,1,2
300.327,214,203,LaneChange,Lane.hiway.1,Lane.hiway.2,291.98877,1,2
318.095,254,237,LaneChange,Lane.hiway.2,Lane.hiway.1,309.75565,1,2
370.663,272,254,LaneChange,Lane.hiway.1,Lane.hiway.2,352.97318,2,1
377.396,277,259,LaneChange,Lane.hiway.2,Lane.hiway.1,359.70633,2,1
380.679,282,263,LaneChange,Lane.hiway.1,Lane.hiway.2,362.98972,2,1
384.129,284,265,LaneChange,Lane.hiway.2,Lane.hiway.1,366.43967,2,1
418.279,300,281,LaneChange,Lane.hiway.1,Lane.hiway.2,400.58972,2,1
448.28,355,327,LaneChange,Lane.hiway.2,Lane.hiway.1,430.5906,2,1
529.515,397,366,LaneChange,Lane.hiway.1,Lane.hiway.2,485.2571,2,2
536.714,402,371,LaneChange,Lane.hiway.2,Lane.hiway.1,492.45703,2,2
542.897,415,384,LaneChange,Lane.hiway.1,Lane.hiway.2,498.64047,2,2
545.282,417,386,LaneChange,Lane.hiway.2,Lane.hiway.1,501.02374,2,2
580.882,429,398,LaneChange,Lane.hiway.1,Lane.hiway.2,536.62427,2,2
605.249,488,444,LaneChange,Lane.hiway.2,Lane.hiway.1,560.9902,2,2
633.099,510,464,LaneChange,Lane.hiway.1,Lane.hiway.2,588.84155,2,2
637.783,518,471,LaneChange,Lane.hiway.2,Lane.hiway.1,593.5245,2,2
