UID,Age,Sex,Driven,Driving_years,Driving_hwy,Driving_city,Cycling,Gaming_recent,Gaming_past,Glasses,Game_score,Time_exp
"0433",33,Female,Yes,more than 15 years,1 day or less per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,225,10:30
"1190",29,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,Yes,865,12:00
"0054",21,Female,No,,,,6-7 days per week,I have virtually never played them,I virtually never play them,Yes,-835,14:00
"1540",24,Female,No,,,,less than 1 day per week,I have virtually never played them,I virtually never play them,Yes,-1125,10:30
"3239",22,Female,Yes,less than 5 years,1 day or less per week,1-3 days per week,6-7 days per week,I have virtually never played them,I virtually never play them,No,-10,14:00
"4323",21,Female,No,,,,3-5 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-980,10:30
"7641",21,Female,No,,,,6-7 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),Yes,-615,12:00
"0194",23,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,less than 1 day per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,270,15:30
"2887",29,Female,No,,,,less than 1 day per week,I used to play them a lot (more than 3 times per week),I play them occasionally (less than 3 times per week),No,-720,11:30
"1886",25,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,515,14:00
"6195",25,Male,Yes,5-10 years,1-3 days per week,1 day or less per week,1-3 days per week,I used to play them a lot (more than 3 times per week),I play them occasionally (less than 3 times per week),No,450,12:00
"0136",20,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,less than 1 day per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-1160,14:30
"0112",25,Male,Yes,less than 5 years,1-3 days per week,1 day or less per week,3-5 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,95,10:30
"7201",29,Female,Yes,10-15 years,1 day or less per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-630,10:30
"0107",26,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them a lot (more than 3 times per week),I play them a lot (more than 3 times per week),Yes,1090,14:00
"3187",24,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,530,12:00
"2991",19,Female,Yes,less than 5 years,1-3 days per week,1-3 days per week,less than 1 day per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,Yes,20,10:30
"7304",33,Male,No,,,,less than 1 day per week,I used to play them a lot (more than 3 times per week),I play them a lot (more than 3 times per week),Yes,95,14:00
"5692",20,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I have virtually never played them,I virtually never play them,No,-65,11:30
"9942",19,Female,Yes,less than 5 years,4-5 days per week,1-3 days per week,1-3 days per week,I have virtually never played them,I virtually never play them,No,170,16:00
"6342",21,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,350,9:00
"2864",46,Female,Yes,more than 15 years,4-5 days per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-1225,9:00
"7245",26,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,less than 1 day per week,I used to play them occasionally (less than 3 times per week),I play them a lot (more than 3 times per week),No,10,12:30
"2751",61,Male,Yes,more than 15 years,1-3 days per week,1 day or less per week,less than 1 day per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,Yes,-720,9:00
"1908",20,Female,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I have virtually never played them,I virtually never play them,No,-345,12:30
"1532",20,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them a lot (more than 3 times per week),I play them occasionally (less than 3 times per week),No,-1320,16:00
"4155",32,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them a lot (more than 3 times per week),I play them occasionally (less than 3 times per week),No,10,9:00
"9318",28,Male,Yes,10-15 years,4-5 days per week,1 day or less per week,1-3 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,30,9:00
"2752",23,Female,No,,,,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-360,12:30
"9529",30,Male,Yes,5-10 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,265,9:00
"1234",21,Female,Yes,less than 5 years,1-3 days per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,650,12:30
"4482",24,Female,Yes,less than 5 years,6-7 days per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I play them a lot (more than 3 times per week),No,335,9:00
"3466",20,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,1-3 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,595,16:00
"2480",19,Female,Yes,less than 5 years,1-3 days per week,1 day or less per week,6-7 days per week,I have virtually never played them,I virtually never play them,No,280,9:00
"5820",23,Female,Yes,less than 5 years,1-3 days per week,1 day or less per week,1-3 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,0,16:00
"0133",18,Female,Yes,less than 5 years,1-3 days per week,1-3 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,580,12:30
"0621",24,Female,No,,,,3-5 days per week,I used to play them occasionally (less than 3 times per week),I play them occasionally (less than 3 times per week),No,-1980,16:00
"5667",20,Male,Yes,less than 5 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them a lot (more than 3 times per week),I play them occasionally (less than 3 times per week),Yes,-1575,16:00
"8372",23,Female,Yes,5-10 years,1-3 days per week,3-5 days per week,6-7 days per week,I used to play them occasionally (less than 3 times per week),I virtually never play them,No,-625,9:00
"2007",28,Male,Yes,5-10 years,1 day or less per week,1 day or less per week,6-7 days per week,I used to play them a lot (more than 3 times per week),I play them a lot (more than 3 times per week),No,410,9:00
